#áéóíúñ
# uit:
# Harry Potter y el piedra philosophal
#question1=Wat is "" in het Spaans?
#question2=Wat is "" in het Nederlands?

# Ch1
la sien, de slaap (anatomie)	{zn; cat:anatomie}
la zarpa, de klauw
el naipe, de speelkaart
el acebo, de hulst
ajado, gekreukeld
arrugado, gerimpeld
la ansia, het verlangen
aliviar, verlichten
aborrecer, haten
el mondadientes, de tandenstoker
el cerrojo, de grendel
los nudillos, de knokkels
el barril, de ton
a hurtadillas, stiekem
labrar, bewerken
escabullirse, wegsluipen
el atasco, de opstopping

# Ch 14
ladrar, blaffen
la perjuicio, de schade

# Ch 15
el recelo, de achterdocht
la higuera, de bijgeboom
el higo, de vijg
el hocico, de snuit
cálido, heet
musitar, mompelen
talar, omhakken
la telaraña, het spinneweb
la presa, de vangst
ciego, blind
la bocina, de toeter

# Ch 16
la zapatillas, de slippers
retorcer, wringen / draaien
el sorbo, de slok
imprescindible, onmisbaar
la sorna, het sarcasme
estrujar, knijpen
alisar, gladstrijken
el pliegue, de vouw
insoslayable, onvermijdelijk
halagar, vleien
henchido de orgullo, vol trots
el lavabo, de wastafel

# Ch 17
borroso, vaag
empañado, vochtig / beslagen
es una lata, het is vervelend
el cachorro, de puppie
el harapo, het vod
el fardo, de bundel
socarrón, sarcastisch
la escama, de schub
empuñar, vastgrijpen
esquivar, ontwijken
tararear, neuriën

# Ch 18
averiguar, vaststellen
el don, de gave
deribar, omver duwen

